epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7517,0.95468,1.73265,0.89446,0.85966,0.78839,0.8639,0.60125,1.08427,1.42275,0.90303,0.000473716,0.000473716,0.000473716
2,29.9922,0.81143,0.81114,0.86086,0.87505,0.84357,0.93041,0.64647,1.00586,0.77023,0.90181,0.000940644,0.000940644,0.000940644
3,43.7666,0.76639,0.6331,0.85606,0.8803,0.94443,0.96584,0.67696,1.00508,0.69261,0.88908,0.00139814,0.00139814,0.00139814
4,57.6327,0.72697,0.5451,0.84933,0.90558,0.88228,0.95455,0.67444,1.01991,0.69425,0.92924,0.00138656,0.00138656,0.00138656
5,71.4237,0.71036,0.48448,0.84404,0.87255,0.83768,0.92698,0.64344,1.05439,0.70925,0.925,0.00137241,0.00137241,0.00137241
6,85.2135,0.68014,0.45188,0.84029,0.86941,0.88202,0.91524,0.59415,1.11907,0.77554,0.98435,0.00135826,0.00135826,0.00135826
7,99.0145,0.66465,0.4337,0.8379,0.94355,0.9029,0.96505,0.66946,1.01565,0.5853,0.91809,0.00134412,0.00134412,0.00134412
8,112.742,0.65638,0.42538,0.8347,0.93403,0.93089,0.97787,0.67452,1.07342,0.56503,0.95897,0.00132997,0.00132997,0.00132997
9,126.381,0.63925,0.40582,0.8341,0.95729,0.85098,0.91822,0.62251,1.0894,0.80411,0.96492,0.00131582,0.00131582,0.00131582
10,140.021,0.62424,0.39599,0.83382,0.87843,0.91523,0.93115,0.64594,0.99132,0.63237,0.91558,0.00130168,0.00130168,0.00130168
11,153.719,0.62288,0.39054,0.83125,0.87494,0.95347,0.95502,0.663,1.02629,0.64396,0.93842,0.00128753,0.00128753,0.00128753
12,167.429,0.60594,0.38276,0.8279,0.89043,0.95266,0.97005,0.70146,0.96973,0.53826,0.90773,0.00127338,0.00127338,0.00127338
13,181.164,0.60974,0.37322,0.82686,0.86899,0.88057,0.91867,0.66855,1.01186,0.66471,0.94867,0.00125923,0.00125923,0.00125923
14,194.808,0.59499,0.36451,0.82453,0.91294,0.90865,0.95629,0.69149,0.96586,0.60586,0.90645,0.00124509,0.00124509,0.00124509
